,Title,Date
0,"TikTok updates its policies with focus on minor and LGBTQ safety, age appropriate content and more - TechCrunch","Tue, 08 Feb 2022 08:00:00 GMT"
1,"Promise's flexible payment platform for government debts grows fast, raises $25M to keep growing - TechCrunch","Thu, 24 Feb 2022 08:00:00 GMT"
2,Nigerian fintech Grey gets backing from Y Combinator - TechCrunch,"Tue, 08 Feb 2022 08:00:00 GMT"
3,Genesis raises $200M in Tiger-led round to grow its finance-focused low-code application platform - TechCrunch,"Wed, 16 Feb 2022 08:00:00 GMT"
4,India bans over 50 more Chinese apps including Garena Free Fire - TechCrunch,"Sun, 13 Feb 2022 08:00:00 GMT"
5,Zoox robotaxis are already mingling with the public on semi-private test courses - TechCrunch,"Thu, 10 Feb 2022 08:00:00 GMT"
6,Koneksa’s $45 million round could help make at-home clinical trials a reality - TechCrunch,"Mon, 07 Feb 2022 08:00:00 GMT"
7,Aporia raises $25M Series A for its ML observability platform - TechCrunch,"Wed, 23 Feb 2022 08:00:00 GMT"
8,"Apple launches its own book club, ‘Strombo’s Lit,’ in the Apple Books app - TechCrunch","Wed, 09 Feb 2022 08:00:00 GMT"
9,Firewalla launches its Purple gigabit home firewall - TechCrunch,"Tue, 01 Feb 2022 08:00:00 GMT"
10,Rakuten Symphony acquires Kubernetes platform Robin.io - TechCrunch,"Mon, 28 Feb 2022 08:00:00 GMT"
11,Pluto lands funding from fintech all-stars to build a ‘Ramp for the Middle East’ - TechCrunch,"Thu, 03 Feb 2022 08:00:00 GMT"
12,"Weee! delivers second big funding round in a year, this time backed by SoftBank - TechCrunch","Mon, 28 Feb 2022 08:00:00 GMT"
13,Microsoft says it will open up the Xbox store in light of the Activision Blizzard deal - TechCrunch,"Wed, 09 Feb 2022 08:00:00 GMT"
14,"DishDivvy serves up marketplace for on-demand, home-cooked food - TechCrunch","Wed, 23 Feb 2022 08:00:00 GMT"
15,Google brings a smarter search history page to Chrome - TechCrunch,"Tue, 08 Feb 2022 08:00:00 GMT"
16,Shortwave wants to bring back Google Inbox - TechCrunch,"Tue, 15 Feb 2022 08:00:00 GMT"
17,African fintech Flutterwave triples valuation to over $3B after $250M Series D - TechCrunch,"Wed, 16 Feb 2022 08:00:00 GMT"
18,Zenjob nabs $50M for its student job matching marketplace - TechCrunch,"Tue, 22 Feb 2022 08:00:00 GMT"
19,"Veed, an online video editing platform, picks up $35M from Sequoia - TechCrunch","Wed, 02 Feb 2022 08:00:00 GMT"
20,EV SPAC Faraday Future is restructuring leadership following review of inaccurate statements to investors - TechCrunch,"Tue, 01 Feb 2022 08:00:00 GMT"
21,"Superconductive, creators of Great Expectations, nabs $40M for a commercial version of its open source data quality tool - TechCrunch","Thu, 10 Feb 2022 08:00:00 GMT"
22,BNPL payment startup Alma raises another $130 million round - TechCrunch,"Thu, 10 Feb 2022 08:00:00 GMT"
23,Dutch raises $20M to scale its telemedicine platform for pets - TechCrunch,"Thu, 17 Feb 2022 08:00:00 GMT"
24,"Flush with cash, bamboo-based toilet paper company Cloud Paper makes it rain - TechCrunch","Thu, 03 Feb 2022 08:00:00 GMT"
25,"Peter Thiel to leave Facebook board, which you probably forgot he was still on - TechCrunch","Mon, 07 Feb 2022 08:00:00 GMT"
26,"Bumble makes its first acquisition with deal for French Gen Z dating app, Fruitz - TechCrunch","Mon, 07 Feb 2022 08:00:00 GMT"
27,New regulation in China to hit food delivery giants’ profit model - TechCrunch,"Sun, 20 Feb 2022 08:00:00 GMT"
28,Envisioning Partners closes on $64M fund for climate tech startups - TechCrunch,"Tue, 08 Feb 2022 08:00:00 GMT"
29,QuantrolOx uses machine learning to control qubits - TechCrunch,"Wed, 23 Feb 2022 08:00:00 GMT"
30,"Novoloop says it’s worked out how to upcycle plastic waste, raises $11M Series A - TechCrunch","Mon, 14 Feb 2022 08:00:00 GMT"
31,Circular takes on Oura with a $259 smart ring - TechCrunch,"Fri, 04 Feb 2022 08:00:00 GMT"
32,Flashfood raises $12.3M to scale its grocery app that helps tackle retail food waste - TechCrunch,"Mon, 28 Feb 2022 08:00:00 GMT"
33,Ethereum’s hippest wallet app Rainbow banks funding from Alexis Ohanian - TechCrunch,"Tue, 15 Feb 2022 08:00:00 GMT"
34,Marathon Venture Capital adds to its newest fund to back Greek founders around the globe - TechCrunch,"Thu, 03 Feb 2022 08:00:00 GMT"
35,Green is the fashion flavor of the week with Rubi Labs’ materials made from captured CO2 - TechCrunch,"Wed, 16 Feb 2022 08:00:00 GMT"
36,The rise of the Black Angel Group inside of Alphabet - TechCrunch,"Wed, 09 Feb 2022 08:00:00 GMT"
37,Apple announces ‘Tap to Pay’ feature that will allow iPhones to accept contactless payments - TechCrunch,"Tue, 08 Feb 2022 08:00:00 GMT"
38,"Gaia, a platform to finance IVF treatments, closes $20M Series A led by Atomico - TechCrunch","Mon, 14 Feb 2022 08:00:00 GMT"
39,Sky Mavis - TechCrunch,"Thu, 03 Feb 2022 13:33:24 GMT"
40,Automotive simulation platform Morai secures $20.8M Series B to expand its global footprint - TechCrunch,"Mon, 07 Feb 2022 08:00:00 GMT"
41,"Immune to irony, Nori puts a carbon market on the blockchain - TechCrunch","Thu, 24 Feb 2022 08:00:00 GMT"
42,Katherine Wu leaves Coinbase Ventures to join crypto investment firm Archetype - TechCrunch,"Fri, 25 Feb 2022 08:00:00 GMT"
43,99 Counties taps regenerative agriculture trend for meat marketplace - TechCrunch,"Tue, 22 Feb 2022 08:00:00 GMT"
44,Snapchat is rolling out a new buddy system-like real-time location sharing feature - TechCrunch,"Fri, 18 Feb 2022 08:00:00 GMT"
45,Nigerian healthtech startup Reliance Health raises $40M led by General Atlantic - TechCrunch,"Mon, 07 Feb 2022 08:00:00 GMT"
46,Finary wants to reimagine private banking - TechCrunch,"Thu, 24 Feb 2022 08:00:00 GMT"
47,Snapchat partners with Ticketmaster to match users with live events near them - TechCrunch,"Wed, 16 Feb 2022 08:00:00 GMT"
48,GoStudent acquires UK’s Seneca Learning and Spain’s Tus Media Group - TechCrunch,"Tue, 01 Feb 2022 08:00:00 GMT"
49,Q5D is using robots to automate electronic wiring during manufacturing - TechCrunch,"Sat, 05 Feb 2022 08:00:00 GMT"
50,Siri gains a new gender-neutral voice option in latest iOS update - TechCrunch,"Thu, 24 Feb 2022 08:00:00 GMT"
51,"Vivid Money, a financial super app, raises $114M at an $886M valuation to expand in Europe - TechCrunch","Mon, 07 Feb 2022 08:00:00 GMT"
52,Waymo to begin charging for robotaxi rides in San Francisco - TechCrunch,"Mon, 28 Feb 2022 08:00:00 GMT"
53,"Reface, a viral face-swap app from Ukraine, adds anti-war push notifications - TechCrunch","Sun, 27 Feb 2022 08:00:00 GMT"
54,Facebook Reels rolls out worldwide along with new creative tools and ads - TechCrunch,"Tue, 22 Feb 2022 08:00:00 GMT"
55,Agot AI gives restaurants computer vision to see where food orders go wrong - TechCrunch,"Fri, 11 Feb 2022 08:00:00 GMT"
56,Blueland raises more money to avoid shipping water around and reduce single-use plastics - TechCrunch,"Wed, 16 Feb 2022 08:00:00 GMT"
57,"Eight years into his tenure, Satya Nadella looks to diversify - TechCrunch","Tue, 08 Feb 2022 08:00:00 GMT"
58,iPhone refurbisher Swappie raises $124M Series C led by Verdane to scale in Europe - TechCrunch,"Tue, 15 Feb 2022 08:00:00 GMT"
59,Secureframe secures $56M for a platform that automates an enterprise's compliance with standards like HIPAA and SOC 2 - TechCrunch,"Wed, 23 Feb 2022 08:00:00 GMT"
60,ar glasses - TechCrunch,"Sat, 19 Feb 2022 22:22:13 GMT"
61,Remote work and events startup twine acquires YC-backed Glimpse to launch on Zoom - TechCrunch,"Thu, 10 Feb 2022 08:00:00 GMT"
62,"iHeartRadio modernizes the radio call-in with launch of ‘Talk Back,’ a tool for sending voice messages to show hosts - TechCrunch","Mon, 28 Feb 2022 08:00:00 GMT"
63,"Discord is testing forums, new mod tools and homepages that surface hot topics in some servers - TechCrunch","Fri, 04 Feb 2022 08:00:00 GMT"
64,Hydrogen production without CO2 is getting a boost with new tech from Verdagy - TechCrunch,"Tue, 08 Feb 2022 08:00:00 GMT"
65,"BlackRock leads $126M raise for Revel, EV fast chargers - TechCrunch","Wed, 23 Feb 2022 08:00:00 GMT"
66,"With a $50M Series C, Instrumental looks to expand data-driven manufacturing solution - TechCrunch","Wed, 16 Feb 2022 08:00:00 GMT"
67,"Travel experiences app Headout survives the Omicron surge, grabs $30M more in funding - TechCrunch","Wed, 02 Feb 2022 08:00:00 GMT"
68,These are the biggest French startups according to the French government - TechCrunch,"Tue, 01 Feb 2022 08:00:00 GMT"
69,Marcelo Lebre - TechCrunch,"Thu, 09 May 2024 00:14:48 GMT"
70,Disney+ just ran its first test of livestreaming in the US - TechCrunch,"Tue, 08 Feb 2022 08:00:00 GMT"
71,Taur raised $1.75M from Trucks VC to launch e-scooters in LA - TechCrunch,"Fri, 25 Feb 2022 08:00:00 GMT"
72,LinkedIn acquires Israeli web analytics startup Oribi for $80M-90M to expand its marketing technology - TechCrunch,"Mon, 28 Feb 2022 08:00:00 GMT"
73,Paramount+ to include Showtime as company bets on streaming future - TechCrunch,"Wed, 16 Feb 2022 08:00:00 GMT"
74,Tech-enabled homebuilder Homebound raises $75M Series C led by Khosla - TechCrunch,"Tue, 15 Feb 2022 08:00:00 GMT"
75,Why are cybersecurity asset management startups so hot right now? - TechCrunch,"Fri, 11 Feb 2022 08:00:00 GMT"
76,"GM’s Chevy Silverado EV already has 110,000 reservations - TechCrunch","Tue, 01 Feb 2022 08:00:00 GMT"
77,Acton’s latest acquisition hints at the future of docked micromobility - TechCrunch,"Thu, 10 Feb 2022 08:00:00 GMT"
78,"Snap finally did it, y’all - TechCrunch","Thu, 03 Feb 2022 08:00:00 GMT"
79,Tinder introduces a way for members to go on virtual ‘blind dates’ - TechCrunch,"Thu, 10 Feb 2022 08:00:00 GMT"
80,Elon Musk accuses SEC of conducting a ‘harassment campaign’ - TechCrunch,"Thu, 17 Feb 2022 08:00:00 GMT"
81,"As startups flood the health space, bioniq launches hyper-personalised supplements - TechCrunch","Wed, 09 Feb 2022 08:00:00 GMT"
82,RudderStack raises $56M for its customer data platform - TechCrunch,"Wed, 02 Feb 2022 08:00:00 GMT"
83,Are lifelike digital humans the future of customer experience? - TechCrunch,"Mon, 14 Feb 2022 08:00:00 GMT"
84,Sunroom is an alternative creator platform empowering women to cash in - TechCrunch,"Wed, 02 Feb 2022 08:00:00 GMT"
85,Sweden's Volta raises $260M at a $490M valuation to get its all-electric trucks into production by the end of this year - TechCrunch,"Mon, 21 Feb 2022 08:00:00 GMT"
86,Wayflyer raises $150M on a $1.6B valuation for a new spin on providing loans to e-commerce merchants - TechCrunch,"Tue, 01 Feb 2022 08:00:00 GMT"
