,Title,Date
0,"The power of hydro, part two - CNBC","Thu, 16 Feb 2017 08:00:00 GMT"
1,Kevin Kane Profile - CNBC,"Wed, 16 Sep 2015 14:41:58 GMT"
2,Google and H&M create personalized ‘coded couture’ dress based on smartphone app data - CNBC,"Wed, 08 Feb 2017 08:00:00 GMT"
3,"I tried a $5,000 hamburger, and it was absolutely worth it - CNBC","Thu, 23 Feb 2017 08:00:00 GMT"
4,The New Sprite Flavor Is Based On Big Data - CNBC,"Mon, 13 Feb 2017 08:00:00 GMT"
5,People wouldn’t care if three quarters of brands disappeared: Survey - CNBC,"Thu, 02 Feb 2017 08:00:00 GMT"
6,"Richard Branson: To get to the top, hustle like an underdog - CNBC","Tue, 21 Feb 2017 08:00:00 GMT"
7,This is how 5 self-made billionaires beat stress - CNBC,"Thu, 23 Feb 2017 08:00:00 GMT"
8,4 lessons you can learn from America’s first female self-made millionaire - CNBC,"Wed, 15 Feb 2017 08:00:00 GMT"
9,"Microsoft is 'deeply' focused on driving LinkedIn revenue — not necessarily the bottom line, CFO says - CNBC","Mon, 27 Feb 2017 08:00:00 GMT"
10,4 public speaking lessons from the class that changed Warren Buffett's life - CNBC,"Fri, 03 Feb 2017 08:00:00 GMT"
11,Here are 7 things we learned about Canada Goose from its IPO filing - CNBC,"Thu, 16 Feb 2017 08:00:00 GMT"
12,Express Scripts CEO sees an affordable Obamacare replacement as possible - CNBC,"Mon, 06 Feb 2017 08:00:00 GMT"
13,Amgen upgraded by Bank of America a day after CEO meets Trump - CNBC,"Wed, 01 Feb 2017 08:00:00 GMT"
14,Do aphrodisiacs work? The truth about foods like oysters and chocolate - CNBC,"Tue, 14 Feb 2017 08:00:00 GMT"
15,Trump threatens UC Berkeley with funds cut after Breitbart editor's speech is canceled following riot - CNBC,"Thu, 02 Feb 2017 08:00:00 GMT"
16,San Francisco to be the first city in the US to offer free college - CNBC,"Wed, 08 Feb 2017 08:00:00 GMT"
17,Warren Buffett: Kraft Heinz bid for Unilever was not a 'hostile offer' - CNBC,"Mon, 27 Feb 2017 08:00:00 GMT"
18,This 'Star Wars' character altered the toy industry forever - CNBC,"Mon, 27 Feb 2017 08:00:00 GMT"
19,How 2 guys in their 20s found an old printing press and turned it into a $25 million business - CNBC,"Thu, 16 Feb 2017 08:00:00 GMT"
